               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.077463,            0.014319,             0.01075,             0.75759,             0.45868,              0.4733,             0.19123,            0.068422,            0.011836,           0.0052989,           0.0078713,           0.0078713,           0.0078713
                  99,            0.077334,            0.014076,            0.010773,             0.76549,              0.4757,             0.50434,             0.20672,            0.067095,            0.011203,           0.0046606,           0.0078311,           0.0078311,           0.0078311
                 100,            0.074479,            0.014026,           0.0087582,             0.81237,             0.45891,             0.51703,             0.22214,            0.067892,            0.011302,           0.0048643,           0.0077907,           0.0077907,           0.0077907
                 101,            0.072299,            0.013527,           0.0092369,             0.86543,             0.48257,             0.54469,              0.2333,            0.066179,            0.011027,           0.0041983,             0.00775,             0.00775,             0.00775
                 102,            0.072712,             0.01338,           0.0091737,             0.83708,             0.44228,             0.51715,             0.22046,            0.066343,            0.011188,           0.0038309,           0.0077091,           0.0077091,           0.0077091
                 103,            0.073963,            0.013099,           0.0095076,             0.78268,             0.47768,             0.51748,             0.20933,            0.065427,            0.011081,           0.0042074,           0.0076679,           0.0076679,           0.0076679
                 104,            0.071235,            0.013346,            0.009244,             0.89517,              0.4782,             0.54498,             0.23335,            0.062835,             0.01096,           0.0034416,           0.0076265,           0.0076265,           0.0076265
                 105,            0.070804,            0.013178,           0.0082286,             0.88591,             0.48947,             0.55366,             0.23335,             0.06299,            0.010739,           0.0036367,           0.0075848,           0.0075848,           0.0075848
                 106,            0.072286,             0.01327,           0.0083817,             0.86014,             0.48632,              0.5415,             0.23657,            0.065352,            0.011127,           0.0033788,            0.007543,            0.007543,            0.007543
                 107,            0.070875,            0.013628,           0.0084109,             0.91403,             0.46201,             0.52861,              0.2208,            0.065835,            0.010893,           0.0040544,           0.0075009,           0.0075009,           0.0075009
                 108,            0.070458,            0.012902,           0.0085441,             0.88722,             0.47334,             0.55348,             0.23587,            0.065717,            0.011008,           0.0042536,           0.0074585,           0.0074585,           0.0074585
                 109,            0.071645,            0.013131,           0.0087302,             0.82454,             0.47788,             0.52118,             0.22168,             0.06619,            0.010994,           0.0039784,            0.007416,            0.007416,            0.007416
                 110,            0.071522,            0.012388,           0.0089178,             0.81407,             0.48763,             0.54296,             0.23388,             0.06427,            0.010962,               0.004,           0.0073733,           0.0073733,           0.0073733
                 111,            0.072143,            0.013438,            0.008397,             0.87961,             0.47974,             0.54513,             0.23933,             0.06323,            0.011027,           0.0033612,           0.0073303,           0.0073303,           0.0073303
                 112,            0.070552,            0.013012,           0.0091848,             0.85085,             0.47774,             0.52125,              0.2218,            0.065024,            0.011093,            0.003845,           0.0072872,           0.0072872,           0.0072872
                 113,            0.070476,            0.013411,           0.0078171,             0.89912,             0.46947,             0.54143,             0.20805,            0.065149,            0.010986,           0.0033806,           0.0072438,           0.0072438,           0.0072438
                 114,            0.072234,            0.013111,           0.0086839,             0.81274,             0.45131,             0.51719,             0.20148,            0.066152,            0.011277,           0.0037769,           0.0072003,           0.0072003,           0.0072003
                 115,            0.073292,             0.01323,            0.008688,             0.88136,             0.47859,             0.54719,             0.23325,            0.064819,            0.010703,           0.0034025,           0.0071566,           0.0071566,           0.0071566
                 116,            0.069896,            0.012967,           0.0082718,             0.84392,             0.50462,              0.5582,              0.2423,            0.061705,            0.010603,           0.0028992,           0.0071127,           0.0071127,           0.0071127
                 117,            0.070887,            0.012966,            0.008405,             0.85815,              0.4819,             0.54033,             0.22879,            0.064575,            0.010842,           0.0033429,           0.0070686,           0.0070686,           0.0070686
                 118,            0.068623,            0.013384,           0.0073535,              0.8295,             0.49173,             0.54667,             0.23057,            0.063771,            0.010929,           0.0038724,           0.0070243,           0.0070243,           0.0070243
                 119,            0.069584,            0.012598,            0.007405,             0.89092,             0.46701,             0.53234,             0.21094,            0.062548,            0.010952,           0.0030702,           0.0069799,           0.0069799,           0.0069799
                 120,            0.068649,            0.013073,           0.0078217,             0.88079,              0.4961,             0.55495,             0.21664,            0.062422,             0.01048,           0.0033108,           0.0069353,           0.0069353,           0.0069353
                 121,            0.071084,            0.012836,           0.0083307,             0.88354,             0.48726,             0.55432,             0.22294,             0.06199,            0.010472,           0.0029896,           0.0068906,           0.0068906,           0.0068906
                 122,            0.071531,            0.012759,           0.0076508,              0.8254,             0.45275,             0.52313,             0.21669,            0.062211,            0.011127,           0.0033658,           0.0068457,           0.0068457,           0.0068457
                 123,            0.072769,            0.013087,           0.0075266,             0.85927,             0.48127,             0.53437,             0.22527,            0.065266,            0.010715,           0.0029215,           0.0068006,           0.0068006,           0.0068006
                 124,            0.069631,            0.013583,           0.0071951,             0.85743,              0.5031,             0.57361,             0.24895,             0.06206,             0.01042,           0.0026385,           0.0067555,           0.0067555,           0.0067555
                 125,             0.07195,            0.012761,           0.0073741,             0.83588,             0.49498,               0.551,             0.21876,            0.064934,            0.010698,            0.002967,           0.0067101,           0.0067101,           0.0067101
                 126,            0.071088,            0.012704,           0.0077454,             0.86891,             0.47649,             0.55108,             0.22383,            0.064251,            0.010609,           0.0032805,           0.0066647,           0.0066647,           0.0066647
                 127,            0.070556,            0.012707,           0.0077996,             0.86949,             0.46628,             0.55492,             0.22474,            0.066959,            0.010632,           0.0026588,           0.0066191,           0.0066191,           0.0066191
                 128,             0.06802,            0.012647,           0.0067245,             0.69555,             0.35938,             0.42142,             0.16366,            0.071032,            0.011229,           0.0027624,           0.0065734,           0.0065734,           0.0065734
                 129,             0.06947,            0.012916,           0.0073364,              0.8625,             0.50266,             0.56462,             0.25237,            0.063589,            0.010514,           0.0029403,           0.0065276,           0.0065276,           0.0065276
                 130,            0.066886,            0.012301,           0.0060639,               0.889,             0.49596,             0.57355,             0.24492,            0.062458,            0.010506,           0.0025884,           0.0064816,           0.0064816,           0.0064816
                 131,            0.069219,            0.012414,           0.0066564,             0.86178,             0.50697,             0.57381,             0.24823,            0.063478,            0.010399,           0.0026055,           0.0064356,           0.0064356,           0.0064356
                 132,            0.068847,            0.013473,           0.0077887,               0.906,              0.4717,              0.5634,             0.23838,            0.065962,            0.010682,           0.0026683,           0.0063895,           0.0063895,           0.0063895
                 133,            0.068794,             0.01315,           0.0074753,             0.83162,              0.5199,             0.58568,             0.25971,            0.063248,            0.010279,            0.002642,           0.0063432,           0.0063432,           0.0063432
                 134,            0.068689,            0.013159,           0.0067791,             0.89456,             0.49376,             0.58548,             0.25737,            0.063789,            0.010209,           0.0026359,           0.0062969,           0.0062969,           0.0062969
                 135,            0.072018,            0.012694,           0.0070139,             0.85384,             0.49338,             0.55957,             0.23984,            0.059857,            0.010455,           0.0027373,           0.0062505,           0.0062505,           0.0062505
                 136,            0.069799,            0.012678,           0.0072636,             0.81668,             0.49393,             0.53549,             0.23506,            0.061439,             0.01069,           0.0033645,            0.006204,            0.006204,            0.006204
                 137,            0.071648,            0.013071,           0.0074748,             0.86152,              0.4816,             0.54404,               0.239,            0.061691,            0.011019,           0.0033013,           0.0061574,           0.0061574,           0.0061574
                 138,            0.071034,            0.012796,           0.0082128,             0.79282,             0.45982,              0.5178,             0.21315,             0.06447,            0.011139,           0.0034539,           0.0061107,           0.0061107,           0.0061107
                 139,            0.070455,            0.013491,           0.0084778,             0.86639,             0.48432,             0.55473,             0.23328,            0.064585,            0.010639,           0.0030582,            0.006064,            0.006064,            0.006064
                 140,            0.067715,            0.012292,           0.0082933,             0.83977,             0.48472,             0.54453,              0.2259,            0.061715,              0.0107,           0.0033658,           0.0060172,           0.0060172,           0.0060172
